titulo_original,relevancia,publico_alvo,tipo_cobertura,noticiado,arquivo_rascunho,justificativa
"ATA (COEX) Reunião Ordinária nº 77, de 16-03-2026. - pg. 267",média,comunidade externa,matéria média,True,saidas\rascunhos\001_ufms_prepara_abertura_do_primeiro_planetário_fixo_.md,"Embora seja uma ata de reunião, o texto traz informações relevantes sobre a abertura do primeiro Planetário fixo de MS e a programação da COP15, além de competições esportivas para estudantes. Esses fatos possuem interesse público e potencial de atração de visitantes externos, justificando uma matéria que organize esses anúncios."
"EDITAL (PROGRAD/RTR) nº 257, de 17-06-2026. - pg. 192",alta,estudantes,nota curta,True,saidas\rascunhos\002_ufms_publica_segunda_convocação_para_matrícula_em_.md,"O ato trata de convocação para matrícula em processo seletivo de movimentação interna e reingresso, impactando diretamente a vida acadêmica dos estudantes. Por ser um aviso com prazos rígidos e curtos, requer divulgação imediata para evitar a perda de vagas. A cobertura deve ser pontual, focando nas datas e no link de matrícula."
"EDITAL (PROGRAD/RTR) nº 258, de 17-06-2026. - pg. 198",média,estudantes,nota curta,True,saidas\rascunhos\003_ufms_divulga_resultado_final_de_seleção_para_cadas.md,"O ato divulga o resultado final de uma seleção de bolsas (Pibid), o que é de interesse direto dos estudantes de licenciatura. No entanto, como se trata especificamente de uma lista de cadastro reserva, a cobertura deve ser pontual, servindo apenas como aviso de convocação e transparência."
"EDITAL (PROGRAD/RTR) nº 259, de 17-06-2026. - pg. 202",média,servidores,nota curta,True,saidas\rascunhos\004_ufms_divulga_resultado_final_de_seleção_para_super.md,"O ato divulga o resultado final de uma seleção para supervisores do PIBID, impactando docentes da instituição. Por se tratar de um resultado de fluxo contínuo com poucas convocações e muitas vagas desertas, a cobertura deve ser pontual apenas para informar os selecionados."
"EDITAL (PROGRAD/RTR) nº 260, de 17-06-2026. - pg. 205",alta,estudantes,nota curta,True,saidas\rascunhos\005_ufms_convoca_estudantes_de_licenciatura_para_bolsa.md,"O ato trata da convocação de bolsistas para o Pibid, programa de grande impacto financeiro e acadêmico para estudantes de licenciatura. A cobertura é recomendada como nota curta para alertar os convocados sobre os prazos rigorosos de apresentação e desistência."
"EDITAL (PROECE/RTR) nº 331, de 16-06-2026. - pg. 210",média,estudantes,nota curta,True,saidas\rascunhos\006_ufms_divulga_resultado_de_seleção_para_a_bolsa_art.md,"O ato divulga o resultado de bolsas para estudantes, o que gera interesse direto aos beneficiários e candidatos. Por se tratar de uma lista de nomes (resultado de edital), a cobertura adequada é uma nota curta informativa com link para o documento completo."
"EDITAL (PROECE/RTR) nº 332, de 16-06-2026. - pg. 222",alta,estudantes,nota curta,True,saidas\rascunhos\007_proece_divulga_resultado_preliminar_de_bolsas_e_au.md,"O ato divulga o resultado preliminar de bolsas e auxílios para ações de extensão (PAEXT 2026), impactando diretamente a vida financeira e acadêmica de estudantes e docentes. Por se tratar de uma lista de resultados, a cobertura deve ser pontual, orientando os interessados a consultarem a relação de contemplados."
"EDITAL (PROECE/RTR) nº 330, de 16-06-2026. - pg. 216",alta,estudantes,nota curta,True,saidas\rascunhos\008_proece_divulga_resultado_de_bolsas_de_extensão_uni.md,"O ato divulga o resultado de bolsas de extensão, o que impacta diretamente a vida financeira e acadêmica dos estudantes selecionados. Por ser a publicação de uma lista de nomes, a cobertura adequada é uma nota curta informativa que direcione os interessados ao edital completo."
"EDITAL (CGL/BIO/CPAQ) nº 2, de 15-06-2026. - pg. 246",baixa,servidores,não-noticiar,False,,Trata-se de uma convocação rotineira para reunião ordinária de colegiado de curso. O ato não apresenta deliberações de impacto geral ou interesse jornalístico para a comunidade universitária.
"EDITAL (CPNV) nº 33, de 16-06-2026. - pg. 247",baixa,servidores,não-noticiar,False,,"O ato trata apenas da homologação de inscrições para a coordenação de um curso específico em um campus do interior. Por ser um trâmite administrativo interno de baixa abrangência, não possui interesse jornalístico para o portal geral da Universidade."
"EDITAL (CAS/CPNA) nº 3, de 16-06-2026. - pg. 249",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de convocação para reunião ordinária de conselho de unidade. O conteúdo da pauta é procedimental e não apresenta decisões ou fatos de interesse geral para a comunidade universitária.
"ATA (CGL-PED/CPNV/UFMS) Reunião Ordinária nº 1, de 31-03-2026. - pg. 269",baixa,servidores,não-noticiar,False,,"Trata-se de uma ata de reunião ordinária de colegiado com pautas administrativas rotineiras, como aprovação de atas anteriores e planos de ação. Embora mencione carência de docentes, a discussão é interna e preliminar, não possuindo caráter de notícia para a comunidade geral."
"EDITAL (FACFAN/UFMS) nº 18, de 16-06-2026. - pg. 250",baixa,servidores,não-noticiar,False,,"O ato trata de um processo seletivo interno com apenas uma vaga para teletrabalho no exterior, destinado a um grupo muito restrito de servidores da FACFAN. Devido ao caráter pontual e ao baixíssimo impacto na comunidade universitária em geral, não possui interesse jornalístico para o portal de notícias."
